code,description,chapter,block
G43,"MIGRAÑA G430 MIGRAÑA SIN AURA [MIGRAÑA COMUN] G431 MIGRAÑA CON AURA [MIGRAÑA CLASICA] G432 ESTADO MIGRAÑOSO G433 MIGRAÑA COMPLICADA G438 OTRAS MIGRAÑAS G439 MIGRAÑA, NO ESPECIFICADA",G,G43
G44,"OTROS SINDROMES DE CEFALEA G440 SINDROME DE CEFALEA EN RACIMOS G441 CEFALEA VASCULAR, NCOP G442 CEFALEA DEBIDA A TENSION (CEFALEA TENSIONAL) G443 CEFALEA POSTRAUMATICA CRONICA G444 CEFALEA INDUCIDA POR DROGAS, NO CLASIFICADA EN OTRA PARTE G448 OTROS SINDROMES DE CEFALEA ESPECIFICADOS",G,G44
G45,"ATAQUES DE ISQUEMIA CEREBRAL TRANSITORIA Y G450 SINDROME ARTERIAL VERTEBRO-BASILAR G451 SINDROME DE LA ARTERIA CAROTIDA (HEMISFÉRICO) G452 SINDROMES ARTERIALES PRECEREBRALES BILATERALES Y MULTIPLES G453 AMAUROSIS FUGAZ G454 AMNESIA GLOBAL TRANSITORIA G458 OTRAS ISQUEMIAS CEREBRALES TRANSITORIAS Y SINDROMES AFINES ISQUEMIA CEREBRAL TRANSITORIA, SIN OTRA ESPECIFICACION (TIA, CLAUDICACION G459 CEREBRAL)",G,G45
G46,SINDROMES VASCULARES ENCEFALICOS EN G460 CEREBRAL MEDIA (I66.0†) G461 SINDROME DE LA ARTERIA CEREBRAL ANTERIOR G462 SINDROME DE LA ARTERIA CEREBRAL POSTERIOR G463 SINDROMES APOPLETICOS DEL TALLO ENCEFALICO G464 SINDROME DE INFARTO CEREBELOSO G465 SINDROME LACUNAR MOTOR PURO G466 SINDROME LACUNAR SENSORIAL PURO G467 OTROS SINDROMES LACUNARES OTROS SINDROMES VASCULARES ENCEFALICOS EN ENFERMEDADES G468 CEREBROVASCULARES,G,G46
G47,"TRASTORNOS DEL SUEÑO G470 TRASTORNOS DEL INICIO Y DEL MANTENIMIENTO DEL SUEÑO [INSOMNIOS] G471 TRASTORNOS DE SOMNOLENCIA EXCESIVA [HIPERSOMNIOS] G472 TRASTORNOS DEL RITMO NICTAMERAL G473 APNEA DEL SUEÑO G474 NARCOLEPSIA Y CATAPLEXIA G478 OTROS TRASTORNOS DEL SUEÑO G479 TRASTORNO DEL SUEÑO, NO ESPECIFICADO",G,G47
G50,"TRASTORNOS DEL NERVIO TRIGEMINO G500 NEURALGIA DEL TRIGEMINO G501 DOLOR FACIAL ATIPICO (SINDROME MIOFASCIAL) G508 OTROS TRASTORNOS DEL TRIGEMINO G509 TRASTORNOS DEL TRIGEMINO, NO ESPECIFICADO",G,G50
G51,"TRASTORNOS DEL NERVIO FACIAL G510 PARALISIS DE BELL G511 GANGLIONITIS GENICULADA G512 SINDROME DE MELKERSSON G513 ESPASMO HEMIFACIAL CLONICO G514 MIOQUIMIA FACIAL G518 OTROS TRASTORNOS DEL NERVIO FACIAL G519 TRASTORNOS DEL NERVIO FACIAL, NO ESPECIFICADO",G,G51
G52,"TRASTORNOS DE OTROS NERVIOS CRANEALES G520 TRASTORNOS DEL NERVIO OLFATORIO G521 TRASTORNOS DEL NERVIO GLOSOFARINGEO G522 TRASTORNOS DEL NERVIO VAGO G523 TRASTORNOS DEL NERVIO HIPOGLOSO G527 TRASTORNOS DE MULTIPLES NERVIOS CRANEALES G528 TRASTORNOS DE OTROS NERVIOS CRANEALES ESPECIFICADOS G529 TRASTORNO DE NERVIO CRANEAL, NO ESPECIFICADO",G,G52
G53,"TRASTORNOS DE LOS NERVIOS CRANEALES EN G530 NEURALGIA POSTHERPES ZOSTER (NEURALGIA POST HERPETICA) PARALISIS MULTIPLE DE LOS NERVIOS CRANEALES EN ENFERMEDADES INFECCIOSAS G531 Y PARASITARIAS CLASIFICADAS EN OTRA PARTE G532 PARALISIS MULTIPLE DE LOS NERVIOS CRANEALES, EN LA SARCOIDOSIS PARALISIS MULTIPLE DE LOS NERVIOS CRANEALES, EN ENFERMEDADES G533 NEOPLASICAS OTROS TRASTORNOS DE LOS NERVIOS CRANEALES EN OTRAS ENFERMEDADES G538 CLASIFICADAS EN OTRA PARTE TRASTORNOS DE LAS RAICES Y DE LOS PLEXOS",G,G53
G54,"G540 TRASTORNOS DEL PLEXO BRAQUIAL NERVIOSOS G541 TRASTORNOS DEL PLEXO LUMBOSACRO TRASTORNOS DE LA RAIZ CERVICAL, NO CLASIFICADOS EN OTRA PARTE (NEURALGIA G542 DE ARNOLD, NEURALGIA OCCIPITAL) G543 TRASTORNOS DE LA RAIZ TORACICA, NO CLASIFICADOS EN OTRA PARTE G544 TRASTORNOS DE LA RAIZ LUMBOSACRA, NO CLASIFICADOS EN OTRA PARTE G545 AMIOTROFIA NEURALGICA G546 SINDROME DEL MIEMBRO FANTASMA CON DOLOR G547 SINDROME DEL MIEMBRO FANTASMA SIN DOLOR G548 OTROS TRASTORNOS DE LAS RAICES Y PLEXOS NERVIOSOS G549 TRASTORNO DE LA RAIZ Y PLEXOS NERVIOSOS, NO ESPECIFICADO",G,G54
G55,COMPRESIONES DE LAS RAICES Y DE LOS PLEXOS G550 COMPRESIONES DE LAS RAICES Y PLEXOS NERVIOSOS EN ENFERMEDADES COMPRESIONES DE LAS RAICES Y PLEXOS NERVIOSOS EN TRASTORNOS DE LOS G551 DISCOS INTERVERTEBRALES G552 COMPRESIONES DE LAS RAICES Y PLEXOS NERVIOSOS EN LA ESPONDILOSIS G553 COMPRESIONES DE LAS RAICES Y PLEXOS NERVIOSOS EN OTRAS DORSOPATIAS COMPRESIONES DE LAS RAICES Y PLEXOS NERVIOSOS EN OTRAS ENFERMEDADES G558 CLASIFICADAS EN OTRA PARTE,G,G55
G56,MONONEUROPATIAS DEL MIEMBRO SUPERIOR G560 SINDROME DEL TUNEL CARPIANO G561 OTRAS LESIONES DEL NERVIO MEDIANO G562 LESION DEL NERVIO CUBITAL G563 LESION DEL NERVIO RADIAL G564 CAUSALGIA G568 OTRAS MONONEUROPATIAS DEL MIEMBRO SUPERIOR G569 MONONEUROPATIA DEL MIEMBRO SUPERIOR SIN OTRA ESPECIFICACION,G,G56
G57,"MONONEUROPATIAS DEL MIEMBRO INFERIOR G570 LESION DEL NERVIO CIATICO G571 MERALGIA PARESTESICA G572 LESION DEL NERVIO CRURAL G573 LESION DEL NERVIO CIATICO POPLITEO EXTERNO G574 LESION DEL NERVIO CIATICO POPLITEO INTERNO G575 SINDROME DEL TUNEL CALCANEO G576 LESION DEL NERVIO PLANTAR (NEURINOMA DE MORTON) G578 OTRAS MONONEUROPATIAS DEL MIEMBRO INFERIOR G579 MONONEUROPATIA DEL MIEMBRO INFERIOR, SIN OTRA ESPECIFICACION",G,G57
G58,"OTRAS MONONEUROPATIAS G580 NEUROPATIA INTERCOSTAL G587 MONONEURITIS MULTIPLE G588 OTRAS MONONEUROPATIAS ESPECIFICADAS G589 MONONEUROPATIA, NO ESPECIFICADA MONONEUROPATIA EN ENFERMEDADES CLASIFICADAS",G,G58
G59,G590 MONONEUROPATIA DIABETICA OTRA PARTE G598 OTRAS MONONEUROPATIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,G,G59
G60,"NEUROPATIA HEREDITARIA E IDIOPATICA G600 NEUROPTIA HEREDITARIA MOTORA Y SENSORIAL G601 ENFERMEDAD DE REFSUM G602 NEUROPATIA ASOCIADA CON ATAXIA HEREDITARIA G603 NEUROPATIA PROGRESIVA IDIOPATICA G608 OTRAS NEUROPATIAS HEREDITARIAS E IDIOPATICAS G609 NEUROPATIA HEREDITARIA E IDIOPATICA, SIN OTRA ESPECIFICACION",G,G60
G61,"POLINEUROPATIA INFLAMATORIA G610 SINDROME DE GUILLAIN-BARRE G611 NEUROPATIA AL SUERO G618 OTRAS POLINEUROPATIAS INFLAMATORIAS G619 POLINEUROPATIA INFLAMATORIA, NO ESPECIFICADA",G,G61
G62,"OTRAS POLINEUROPATIAS G620 POLINEUROPATIA INDUCIDA POR DROGAS G621 POLINEUROPATIA ALCOHOLICA G622 POLINEUROPATIA DEBIDA A OTRO AGENTE TOXICO G628 OTRAS POLINEUROPATIAS ESPECIFICADAS G629 POLINEUROPATIA, NO ESPECIFICADA",G,G62
G63,POLINEUROPATIA EN ENFERMEDADES CLASIFICADAS G630 POLINEUROPATIA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS G631 POLINEUROPATIA EN ENFERMEDAD NEOPLASICA G632 POLINEUROPATIA DIABETICA G633 POLINEUROPATIA EN OTRAS ENFERMEDADES ENDOCRINAS Y METABOLICAS G634 POLINEUROPATIA EN DEFICIENCIA NUTRICIONAL G635 POLINEUROPATIA EN TRASTORNOS DEL TEJIDO CONECTIVO SISTEMICO G636 POLINEUROPATIA EN OTROS TRASTORNOS OSTEOMUSCULARES G638 POLINEUROPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE OTROS TRASTORNOS DEL SISTEMA NERVIOSO,G,G63
G64,G64 OTROS TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO PERIFERICO MIASTENIA GRAVIS Y OTROS TRASTORNOS,G,G64
G70,"G700 MIASTENIA GRAVIS NEUROMUSCULARES G701 TRASTORNOS TOXICOS NEUROMUSCULARES G702 MIASTENIA CONGENITA O DEL DESARROLLO G708 OTROS TRASTORNOS NEUROMUSCULARES ESPECIFICADOS G709 TRASTORNO NEUROMUSCULAR, NO ESPECIFICADO",G,G70
G71,"TRASTORNOS MUSCULARES PRIMARIOS G710 DISTROFIA MUSCULAR G711 TRASTORNOS MIOTONICOS G712 MIOPATIAS CONGENITAS G713 MIOPATIA MITOCONDRICA, NO CLASIFICADA EN OTRA PARTE G718 OTROS TRASTORNOS PRIMARIOS DE LOS MUSCULOS G719 TRASTORNO PRIMARIO DEL MUSCULO, TIPO NO ESPECIFICADO",G,G71
G72,"OTRAS MIOPATIAS G720 MIOPATIA INDUCIDA POR DROGAS G721 MIOPATIA ALCOHOLICA G722 MIOPATIA DEBIDA A OTROS AGENTES TOXICOS G723 PARALISIS PERIODICA G724 MIOPATIA INFLAMATORIA, NO CLASIFICADA EN OTRA PARTE G728 OTRAS MIOPATIAS ESPECIFICADAS G729 MIOPATIA, NO ESPECIFICADA",G,G72
G73,TRASTORNOS DEL MUSCULO Y DE LA UNION G730 SINDROMES MIASTENICOS EN ENFERMEDADES ENDOCRINAS,G,G73
G80,"PARALISIS CEREBRAL INFANTIL G800 PARALISIS CEREBRAL ESPASTICA G801 DIPLEJIA ESPASTICA G802 HEMIPLEJIA INFANTIL G803 PARALISIS CEREBRAL DISCINETICA G804 PARALISIS CEREBRAL ATAXICA G808 OTROS TIPOS DE PARALISIS CEREBRAL INFANTIL G809 PARALISIS CEREBRAL INFANTIL, SIN OTRA ESPECIFICACION",G,G80
G81,"HEMIPLEJIA G810 HEMIPLEJIA FLACIDA G811 HEMIPLEJIA ESPASTICA G819 HEMIPLEJIA, NO ESPECIFICADA",G,G81
G82,"PARAPLEJIA Y CUADRIPLEJIA G820 PARAPLEJIA FLACIDA G821 PARAPLEJIA ESPASTICA G822 PARAPLEJIA, NO ESPECIFICADA G823 CUADRIPLEJIA FLACIDA G824 CUADRIPLEJIA ESPASTICA G825 CUADRIPLEJIA, NO ESPECIFICADA",G,G82
G83,"OTROS SINDROMES PARALITICOS G830 DIPLEJIA DE LOS MIEMBROS SUPERIORES G831 MONOPLEJIA DEL MIEMBRO INFERIOR G832 MONOPLEJIA DEL MIEMBRO SUPERIOR G833 MONOPLEJIA, NO ESPECIFICADA G834 SINDROME DE LA COLA DE CABALLO G838 OTROS SINDROMES PARALITICOS ESPECIFICADOS G839 SINDROME PARALITICO, NO ESPECIFICADO",G,G83
G90,"TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO G900 NEUROPATIA AUTONOMA PERIFERICA IDIOPATICA G901 DISAUTONOMIA FAMILIAR [SINDROME DE RILEY-DAY] G902 SINDROME DE HORNER G903 DEGENERACION DE SISTEMAS MULTIPLES G908 OTROS TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO G909 TRASTORNO DEL SISTEMA NERVIOSO AUTONOMO, NO ESPECIFICADO",G,G90
G91,"HIDROCEFALO G910 HIDROCEFALO COMUNICANTE G911 HIDROCEFALO OBSTRUCTIVO G912 HIDROCEFALO DE PRESION NORMAL G913 HIDROCEFALO POSTRAUMATICO, SIN OTRA ESPECIFICACION G918 OTROS TIPOS DE HIDROCEFALO G919 HIDROCEFALO, NO ESPECIFICADO",G,G91
G92,ENCEFALOPATIA TOXICA G92 ENCEFALOPATIA TOXICA,G,G92
G93,"OTROS TRASTORNOS DEL ENCEFALO G930 QUISTE CEREBRAL (SINDORME SILLA TURCA VACIA) LESION CEREBRAL ANOXICA, NO CLASIFICADA EN OTRA PARTE (ENCEFALOPATIA G931 ANOXICA) G932 HIPERTENSION INTRACRANEAL BENIGNA G933 SINDROME DE FATIGA POSTVIRAL G934 ENCEFALOPATIA NO ESPECIFICADA G935 COMPRESION DEL ENCEFALO G936 EDEMA CEREBRAL G937 SINDROME DE REYE G938 OTROS TRASTORNOS ESPECIFICADOS DEL ENCEFALO (DISFUNCION CEREBRAL) G939 TRASTORNO DEL ENCEFALO, NO ESPECIFICADO OTROS TRASTORNOS DEL ENCEFALO EN HIDROCEFALO EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN",G,G93
G94,G940 ENFERMEDADES CLASIFICADAS OTRA PARTE OTRA PARTE G941 HIDROCEFALO EN ENFERMEDAD NEOPLASICA G942 HIDROCEFALO EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE OTROS TRASTORNOS ENCEFALITICOS ESPECIFICADOS EN ENFERMEDADES G948 CLASIFICADAS EN OTRA PARTE,G,G94
G95,"OTRAS ENFERMEDADES DE LA MEDULA ESPINAL G950 SIRINGOMIELIA Y SIRINGOBULBIA G951 MIELOPATIAS VASCULARES (EMBOLIA MEDULA ESPINAL) G952 COMPRESION MEDULAR, NO ESPECIFICADA G958 OTRAS ENFERMEDADES ESPECIFICADAS DE LA MEDULA ESPINAL G959 ENFERMEDAD DE LA MEDULA ESPINAL, NO ESPECIFICADA OTROS TRASTORNOS DEL SISTEMA NERVIOSO",G,G95
G96,"G960 PERDIDA DE LIQUIDO CEFALORRAQUIDEO CENTRAL G961 TRASTORNOS DE LA MENINGES, NO CLASIFICADOS EN OTRA PARTE G968 OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA NERVIOSO CENTRAL G969 TRASTORNO DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADO TRASTORNOS DEL SISTEMA NERVIOSO CONSECUTIVOS",G,G96
G97,"G970 PERDIDA DE LIQUIDO CEFALORRAQUIDEO POR PUNCION ESPINAL A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA G971 OTRA REACCION A LA PUNCION ESPINAL Y LUMBAR G972 HIPOTENSION INTRACRANEAL POSTERIOR A ANASTOMOSIS VENTRICULAR G978 OTROS TRASTORNOS DEL SISTEMA NERVIOSO CONSECUTIVOS A PROCEDIMIENTOS TRASTORNOS NO ESPECIFICADOS DEL SISTEMA NERVIOSO, CONSECUTIVOS A G979 PROCEDIMIENTOS",G,G97
G98,"OTROS TRASTORNOS DEL SISTEMA NERVIOSO G98 OTROS TRASTORNOS DEL SISTEMA NERVIOSO, NO CLASIFICADOS EN OTRA PARTE",G,G98
G99,OTROS TRASTORNOS DEL SISTEMA NERVIOSO EN G990 NEUROPATIA AUTONOMICA EN ENFERNEDADES METABOLICAS Y ENDOCRINAS OTROS TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO EN OTRAS G991 ENFERMEDADES CLASIFICADAS EN OTRA PARTE G992 MIELOPATIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA NERVIOSO EN ENFERMEDADES G998 CLASIFICADAS EN OTRA PARTE,G,G99
H00,ORZUELO Y CALACIO H000 ORZUELO Y OTRAS INFLAMACIONES PROFUNDAS DEL PARPADO H001 CALACIO [CHALAZION],H,H00
H01,"OTRAS INFLAMACIONES DEL PARPADO H010 BLEFARITIS H011 DERMATOSIS NO INFECCIOSA DEL PARPADO H018 OTRAS INFLAMACIONES ESPECIFICADAS DEL PARPADO H019 INFLAMACION DEL PARPADO, NO ESPECIFICADA",H,H01
H02,"OTROS TRASTORNOS DE LOS PARPADOS H020 ENTROPION Y TRIQUIASIS PALPEBRAL (BLEFARELOSIS) H021 ECTROPION DEL PARPADO H022 LAGOFTALMOS H023 BLEFAROCALASIA H024 BLEFAROPTOSIS H025 OTROS TRASTORNOS FUNCIONALES DEL PARPADO H026 XANTELASMA DEL PARPADO H027 OTROS TRASTORNOS DEGENERATIVOS DEL PARPADO Y DEL AREA PERIOCULAR H028 OTROS TRASTORNOS ESPECIFICADOS DEL PARPADO (HIDROCISTOMA) H029 TRASTORNOS DEL PARPADO, NO ESPECIFICADO TRASTORNOS DEL PARPADO EN ENFERMEDADES INFECCION E INFESTACION PARASITARIAS DEL PARPADO EN ENFERMEDADES",H,H02
H03,H030 CLASIFICADAS OTRA PARTE CLASIFICADAS EN OTRA PARTE COMPROMISO DEL PARPADO EN ENFERMEDADES INFECCIOSAS CLASIFICADAS EN H031 OTRA PARTE H038 COMPROMISO DEL PARPADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,H,H03
H04,"TRASTORNOS DEL APARATO LAGRIMAL H040 DACRIOADENITIS H041 OTROS TRASTORNOS DE LA GLANDULA LAGRIMAL (SINDROME OJO SECO) H042 EPIFORA (LAGRIMEO, LAGRIMAS, LLANTO) INFLAMACION AGUDA Y LA NO ESPECIFICADA DE LAS VIAS LAGRIMALES H043 (CANALICULITIS) H044 INFLAMACION CRONICA DE LAS VIAS LAGRIMALES H045 ESTENOSIS E INSUFICIENCIA DE LAS VIAS LAGRIMALES H046 OTROS CAMBIOS DE LAS VIAS LAGRIMALES H048 OTROS TRASTORNOS ESPECIFICADOS DEL APARATO LAGRIMAL H049 TRASTORNO DEL APARATO LAGRIMAL, NO ESPECIFICADO",H,H04
H05,"TRASTORNOS DE LA ORBITA H050 INFLAMACION AGUDA DE LA ORBITA H051 TRASTORNOS INFLAMATORIOS CRONICOS DE LA ORBITA H052 AFECCIONES EXOFTALMICAS (EXOFTALMIA) H053 DEFORMIDAD DE LA ORBITA H054 ENOFTALMIA RETENCION DE CUERPO EXTRAÑO (ANTIGUO), CONSECUTIVA A HERIDA PENETRANTE H055 DE LA ORBITA H058 OTROS TRASTORNOS DE LA ORBITA H059 TRASTORNO DE LA ORBITA, NO ESPECIFICADO TRASTORNOS DEL APARATO LAGRIMAL Y DE LA ORBITA TRASTORNOS DEL APARATO LAGRIMAL EN ENFERMEDADES CLASIFICADAS EN OTRA",H,H05
H06,H060 EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE PARTE INFECCION O INFESTACION PARASITARIA DE LA ORBITA EN ENFERMEDADES H061 CLASIFICADAS EN OTRA PARTE H062 EXOFTALMIA HIPERTIROIDEA OTROS TRASTORNOS DE LA ORBITA EN ENFERMEDADES CLASIFICADAS EN OTRA H063 PARTE,H,H06
H10,"CONJUNTIVITIS H100 CONJUNTIVITIS MUCOPURULENTA H101 CONJUNTIVITIS ATOPICA AGUDA (CONJUNTIVITIS ALERGICA) H102 OTRAS CONJUNTIVITIS AGUDAS H103 CONJUNTIVITIS AGUDA, NO ESPECIFICADA H104 CONJUNTIVITIS CRONICA H105 BLEFAROCONJUNTIVITIS H108 OTRAS CONJUNTIVITIS H109 CONJUNTIVITIS, NO ESPECIFICADA",H,H10
H11,"OTROS TRASTORNOS DE LA CONJUNTIVA H110 PTERIGION H111 DEGENERACIONES Y DEPOSITOS CONJUNTIVALES (PINGUECULITIS) H112 CICATRICES CONJUNTIVALES H113 HEMORRAGIA CONJUNTIVAL H114 OTROS TRASTORNOS VASCULARES Y QUISTES CONJUNTIVALES (OJO ROJO) H118 OTROS TRASTORNOS ESPECIFICADOS DE LA CONJUNTIVA H119 TRASTORNO DE LA CONJUNTIVA, NO ESPECIFICADO",H,H11
H13,TRASTORNOS DE LA CONJUNTIVA EN ENFERMEDADES H130 INFECCION FILARICA DE LA CONJUNTIVA CONJUNTIVITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN H131 OTRA PARTE H132 CONJUNTIVITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE H133 PENFIGOIDE OCULAR OTROS TRASTORNOS DE LA CONJUNTIVA EN ENFERMEDADES CLASIFICADAS EN H138 OTRA PARTE,H,H13
H15,"TRASTORNOS DE LA ESCLEROTICA H150 ESCLERITIS H151 EPISCLERITIS H158 OTROS TRASTORNOS DE LA ESCLEROTICA H159 TRASTORNOS DE LA ESCLEROTICA, NO ESPECIFICADO",H,H15
H16,"QUERATITIS H160 ULCERA DE LA CORNEA H161 OTRAS QUERATITIS SUPERFICIALES SIN CUNJUNTIVITIS H162 QUERATOCONJUNTIVITIS H163 QUERATITIS INTERSTICIAL Y PROFUNDA H164 NEOVASCULARIZACION DE LA CORNEA H168 OTRAS QUERATITIS H169 QUERATITIS, NO ESPECIFICADA",H,H16
H17,"OPACIDADES Y CICATRICES CORNEALES H170 LEUCOMA ADHERENTE H171 OTRAS OPACIDADES CENTRALES DE LA CORNEA H178 OTRAS OPACIDADES O CICATRICES DE LA CORNEA H179 CICATRIZ U OPACIDAD DE LA CORNEA, NO ESPECIFICADA",H,H17
H18,"OTROS TRASTORNOS DE LA CORNEA H180 PIGMENTACIONES Y DEPOSITOS EN LA CORNEA H181 QUERATOPATIA VESICULAR H182 OTROS EDEMAS DE LA CORNEA H183 CAMBIOS EN LAS MEMBRANAS DE LA CORNEA H184 DEGENERACION DE LA CORNEA H185 DISTROFIA HEREDITARIA DE LA CORNEA H186 QUERATOCONO H187 OTRAS DEFORMIDADES DE LA CORNEA H188 OTROS TRASTORNOS ESPECIFICADOS DE LA CORNEA (EROSIONES RECURRENTES) H189 TRASTORNO DE LA CORNEA, NO ESPECIFICADO",H,H18
H19,"TRASTORNOS DE LA ESCLEROTICA Y DE LA CORNEA EN H190 ESCLERITIS Y EPISCLERITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE H191 QUERATITIS Y QUERATOCONJUNTIVITIS POR HERPES SIMPLE QUERATITIS Y QUERATOCONJUNTIVITIS EN ENFERMEDADES INFECCIOSAS Y H192 PARASITARIAS, CLASIFICADAS EN OTRA PARTE QUERATITIS Y QUERATOCONJUNTIVITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN H193 OTRA PARTE OTROS TRASTORNOS DE LA ESCLEROTICA Y DE LA CORNEA EN ENFERMEDADES H198 CLASIFICADAS EN OTRA PARTE",H,H19
H20,"IRIDOCICLITIS H200 IRIDOCICLITIS AGUDA Y SUBAGUDA H201 IRIDOCICLITIS CRONICA H202 IRIDOCICLITIS INDUCIDA POR TRASTORNO DEL CRISTALINO H208 OTRAS IRIDOCICLITIS ESPECIFICADAS (UVEITIS HETEROCROMICA) H209 IRIDOCICLITIS, NO ESPECIFICADA (UVEITIS)",H,H20
H21,"OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR H210 HIFEMA H211 OTROS TRASTORNOS VASCULARES DEL IRIS Y DEL CUERPO CILIAR H212 DEGENERACION DEL IRIS Y DEL CUERPO CILIAR H213 QUISTE DEL IRIS, DEL CUERPO CILIAR Y DE LA CAMARA ANTERIOR H214 MEMBRANAS PUPILARES H215 OTRAS ADHERENCIAS Y DESGARROS DEL IRIS Y DEL CUERPO CILIAR H218 OTROS TRASTORNOS ESPECIFICADOS DEL IRIS Y DEL CUERPO CILIAR H219 TRASTORNO DEL IRIS Y DEL CUERPO CILIAR, NO ESPECIFICADO TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR EN IRIDOCICLITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN",H,H21
H22,H220 ENFERMEDADES CLASIFICADAS EN OTRA PARTE OTRA PARTE H221 IRIDOCICLITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR EN ENFERMEDADES H228 CLASIFICADAS EN OTRA PARTE,H,H22
H25,"CATARATA SENIL H250 CATARATA SENIL INCIPIENTE H251 CATARATA SENIL NUCLEAR H252 CATARATA SENIL, TIPO MORGAGNIAN H258 OTRAS CATARATAS SENILES H259 CATARATA SENIL, NO ESPECIFICADA",H,H25
H26,"OTRAS CATARATAS H260 CATARATA INFANTIL, JUVENIL Y PRESENIL H261 CATARATA TRAUMATICA H262 CATARATA COMPLICADA H263 CATARATA INDUCIDA POR DROGAS H264 CATARATA RESIDUAL H268 OTRAS FORMAS ESPECIFICADAS DE CATARATA H269 CATARATA, NO ESPECIFICADA",H,H26
H27,"OTROS TRASTORNOS DEL CRISTALINO H270 AFAQUIA H271 LUXACION DEL CRISTALINO H278 OTROS TRASTORNOS ESPECIFICADOS DEL CRISTALINO H279 TRASTORNO DEL CRISTALINO, NO ESPECIFICADO",H,H27
H28,"CATARATA Y OTROS TRASTORNOS DEL CRISTALINO EN H280 CATARATA DIABETICA CATARATA EN OTRAS ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y H281 METABOLICAS CLASIFICADAS EN OTRA PARTE H282 CATARATA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE OTROS TRASTORNOS DEL CRISTALINO EN ENFERMEDADES CLASIFICADAS EN OTRA H288 PARTE",H,H28
H30,"INFLAMACION CORIORRETINIANA H300 CORIORRETINITIS FOCAL H301 CORIORRETINITIS DISEMINADA H302 CICLITIS POSTERIOR H308 OTRAS CORIORRETINITIS H309 CORIORRETINITIS, NO ESPECIFICADA",H,H30
H31,"OTROS TRASTORNOS DE LA COROIDES H310 CICATRICES CORIORRETINIANAS H311 DESGENERACION COROIDEA H312 DISTROFIA COROIDEA HEREDITARIA H313 HEMORRAGIA Y RUPTURA DE LA COROIDES H314 DESPRENDIMIENTO DE LA COROIDES H318 OTROS TRASTORNOS ESPECIFICADOS DE LA COROIDES (COROIDOPATIA SEROSA) H319 TRASTORNO DE LA COROIDES, NO ESPECIFICADO TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES INFLAMACION CORIORRETINIANA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS",H,H31
H32,H320 CLASIFICADAS OTRA PARTE CLASIFICADAS EN OTRA PARTE OTROS TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES CLASIFICADAS EN H328 OTRA PARTE,H,H32
H33,DESPRENDIMIENTO Y DESGARRO DE LA RETINA H330 DESPRENDIMIENTO DE LA RETINA CON RUPTURA H331 RETINOSQUISIS Y QUISTES DE LA RETINA H332 DESPRENDIMIENTO SEROSO DE LA RETINA H333 DESGARRO DE LA RETINA SIN DESPRENDIMIENTO H334 DESPRENDIMIENTO DE LA RETINA POR TRACCION H335 OTROS DESPRENDIMIENTO DE LA RETINA,H,H33
H34,"OCLUSION VASCULAR DE LA RETINA H340 OCLUSION ARTERIAL TRANSITORIA DE LA RETINA H341 OCLUSION DE LA ARTERIA CENTRAL DE LA RETINA H342 OTRAS FORMAS DE OCLUSION DE LA ARTERIA DE LA RETINA (EMBOLIA OCULAR) H348 OTRAS OCLUSIONES VASCULARES RETINIANAS H349 OCLUSION VASCULAR RETINIANA, SIN OTRA ESPECIFICACION",H,H34
